question,wrong_choices,correct_answer
"Which one is the spreadsheet application that comes with MS Office software group?","MS Word, MS PowerPoint, MS Access","MS Excel"
"To go to a specific location in a document we use :","Macro, HTML, None of the above","Bookmark"
"Starting with Microsoft Office 2003, Photo Editor was renamed to :","Photo editor, Photo manager, Picture editor","Picture manager"
"What was the HTML editor that was part of Microsoft Office until 2003?","Web page, Explorer, None of the above","Front page"
"Which feature is used to make selected sentence to All Captital Letters or All Small Letters ?","Change letter, Change sentence, Change word","Change case"
"Procedural language is ___________ generation language.","1st, 2nd, 4th","3rd"
"Pseudo code is similar to ___________?","Machine language, Scientific language, All of these","Simple English"
"Computer program is also known as ___________?","Process, Procedure, Compiler","Software"
"Driver of computer Hardware are:__________?","Application Software, Utility Programme, Productivity software","System software"
"” Disk Cleanup” is a/an:________?","Device Driver, Productivity driver, File Manger","Utility Manger"
"In Ms word, a master document contains _______ of subdocument ?","Placeholder, Files, Same data as","Links"
"F1 through F 12 are called_________keys.","Modifier, Control, None of the above","Function"
"Ctrl, Shift, Alt and windows are called__________keys.","Function, Numeric, Alphanumeric","Modifier"
"Which of the following does computing in a personal computer?","Motherboard, RAM, BIOS","CPU"
"In Microsoft Word, ____________ can be used to decide on the spacing between lines of a paragraph.","Alignment, Effects, Indentation","Line spacing"
"RAID stands for:","Redundant Array of Independent Device, Redundant Array of Independent Division, None of these","Redundant Array of Independent Disks"
"Which of these is a peripheral device?","Printer, Monitor, None of these","CD Rom"
"Which of the following is used as “Input device” for the computer?","VDU, TV, Printer","Light pen"
"Which of the following is not true of FORTRAN?","It was developed for scientific and mathematical applications, It is a problem oriented language, It requires extensive internal documentation","It is one of the oldest high-level languages"
"Which of the following do not belong to queues for processes?","Job Queue, Device Queue, Ready Queue","PCB queue"
"The basic unit of CPU utilization is called?","Process, program, None of these","Thread"
"Hyperlink is __________________?","Blue text with Bold, Blue text with Italic, Blue text with without underline","Blue text with underline"
"When you insert an Excel file into a word document, the data are?","Hyperlinked, placed in a word table, embedded","linked"
"Which of the following device uses the parallel transmission?","Mouse, Keyboard, Light Pen","Printer"
"The Greater Than sign is an example of ________ operation ?","Arithmetic, Conditional, Greater","Logical"
"Which memory acts as a buffer Between CPU and the main memory ?","RAM, ROM, Static RAM","Cache memory"
"Which function displays row data into column or column data into row?","Hyperlink, Index, Rows","Transpose"
"Which of the following is single-user single-tasking operating system?","Ms Dos, Windows, MAC-OS","Both a&c"
"Who was the inventor of mouse?","Ada Lovelace, Charles Babbage, None of these","Douglas Engelbart"
"In MS World 2007, ______ is used to move directly to specific location in a document.","Sub documents, Cross-references, Outlines","Bookmarks"
"Which of the following is not used to access the web?","Modem, UDP, DSL","ISDN"
"Computer is a _______________?","Physical Machine, Chemical Machine, Mechanical Machine","Electronic Machine"
"Microsoft Office InterConnect is:","An application that supports editing scanned documents, None of these, A scanning and OCR application","Business-relationship database"
"Microsoft Office Accounting is:","None of these, Project management software to keep track of events and to create network charts and Gantt charts, Diagram and flow-charting software","A tool for managing business finances"
"Microsoft Office Picture Manager is:","A scanning and OCR application, An application that supports editing scanned documents, None of these","Basic photo management software"
"Which one is a Note-taking software for use with tablet PCs or regular PCs.","Microsoft PowerPoint, None of these, Microsoft Access","Microsoft OneNote"
"1GB is equal to______ bytes?","1 million bytes, 1 trillion bytes, None","1 billion bytes"
"Microsoft Office Suite spreadsheet program is _________?","None of these, Microsoft Word, Microsoft PowerPoint","Microsoft Excel"
"GUI is a/an ___________?","Software, Program, Application software","Operating System"
"Which option use to open recent file?","Ctrl+R, Ctrl+F, Ctrl+N","Ctrl+O"
"Q. In CoralDraw, for Ungroup we use the shortkey ___________.","Altr + UG, Control + Shift, Control + F","Control + U"
"What is default font size in MS PowerPoint.","10, 11, 12","18"
"Who is father of computer networking?","Vint Cerf, Google, Novell","Ray Noorda"
"When was the first IBM microcomputer called IBM with 16-bit microprocessor introduced?","1979, 1982, 1984","1981"
"What was the name of the first commercially available microprocessor chip","Intel 8008, Intel 8080, Motorola 6809","Intel 4004"
"What was the name of the first personal computer electronic spreadsheet software package which became a smash hit as soon as it was introduced in 1978","Word star, Lotus 1-2-3, Excel","VisiCalc"
"Distributed data entry means that data can be_____________?","Sent to different locations from a central place, Accessed from different places know as distribution points, Distributed through a network","Entered at different locations where it originates"
"Present day computers are based on __________?","Along technology, Hybrid technology, none of the above","Digital technology"
"A computer is capable of performing almost any task provided, that it can be?","Coded, Memorised, Analysed","Reduced to a series of logical steps"
"Which key is used for Help in PowerPoint","F2, F3, None of These","F1"
"How to create a new presentation in PowerPoint","Ctrl + M, Ctrl+ S, None of these","Ctrl + N"
"How to Open a presentation in PowerPoint?","Ctrl + K, Ctrl+ A, None of these","Ctrl + O"
"All caps to selected text in MS Word is applied with?","Alt+shift+A, shift+A, None of these","Ctrl+shift+A"
"We can insert a page number at","Header, Footer, None of these","Both A and B"
"A number of letters that appear a little above the normal text is called?","Subscript, Super text, Top text","Superscript"
"Text-styling feature of MS word is?","Word Color, Word Font, Word Fill","Word Art"
"The space left between the margin and the start of a paragraph is called ___________?","Spacing, Gutter, Alignment","Indentation"
"In which view Headers and Footers are visible","Normal View, Page Layout View, Draft View","Print Layout View"
"A set of processes is deadlock if ?","each process is terminated, all processes are trying to kill each other, None of these","each process is blocked and will remain so forever"
"The device used to carry digital data on analogue lines is called as_________?","Modem, Multiplexer, Demodulator","Modulator"
"Which one of the following is not a client server application?","Internet chat, Web browsing, E-mail","ping"
"What is the keyboard shortcut key for Save As?","Ctrl + F12, Alt + F12, Shift + F12","F12"
"Move to Next Sheet in Ms Excel:","Shift + Page Down, Page Down, None of these","Ctrl + Page Down"
"Move to next cell in row in Ms Excel:","Shift, Space, None of these","Tab"
"Which of these keys are used in Ms Excel to copy formula from above cell?","Ctrl+ ”, Ctrl+ ;, Ctrl+ :","Ctrl+ ‘"
"Which of these keys are used in Ms Excel to copy value from above cell?","Ctrl+ E, Ctrl+ E, Ctrl+ D","Ctrl + “"
"Which key is used for help in Ms Excel?","F2, F3, None of these","F1"
"Which is the place that is used to connect various external devices to the computer?","Circuit, Whole, None of these","Port"
"Which one is a Program of Operating System that carries your Data?","BIOS, ROM, Processor","Loader"
"Which one holds Data and Instructions?","Hard Disk, BIOS, Task Manager","RAM"
"Arrangement of Computer is called?","Setting, Processing, Wiring","Topology"
"Type/s of Picture is/are?","Vector, Raster, Master","both A & B"
"Picture is made of __________?","Lines, Scratches, Lightings","Dots"
"Loading of Operating System in Personal Computer is called?","Processing, Installation, None of these","Booting"
"Parallel Port is called?","Male Connector, Joint Connector, None of these","Female Connector"
"In Computer, Bus is set of?","Circuits, Registers, Bulbs","Wires"
"Which is known as temporary memory?","ROM, Hard Disk, Circuits","Registers"
"To change line height to 1.5 we use shortcut key","Ctrl+1, Ctrl+2, Ctrl+4","Ctrl+5"
"Which items are placed at the end of a document","Footer, Foot note, Headet","End note"
