question,wrong_choice,correct_answer
"The bills passed by parliament on November 4, 2024 include:","A. The Pakistan Army (Amendment) Bill 2024
B. The Pakistan Air Force (Amendment) Bill 2024
C. The Pakistan Navy (Amendment) Bill 2024",D. All of Above
"The bills passed by parliament on November 4, 2024, include:","A. The Supreme Court Number of Judges (Amendment) Bill 2024
B. The Supreme Court Practice and Procedure (Amendment) Bill 2024
C. The Islamabad High Court (Amendment) Bill 2024",D. All of Above
"How many bills did the coalition government pass on November 4, 2024, in both houses of parliament?","A. 2
B. 4

D. 8",C. 6
According to the Committee to Protect Journalists’ 2024 ‘Global Impunity Index’ Pakistan ranks ___ out of the 13 worst offenders.,"A. First
B. Fifth
C. Ninth",D. Twelfth
"Who will provide 20 million euros to Pakistan for the second phase of ‘Billion Tree Afforestation Support Project’ (BTASP), as an agreement for the financial support was signed in Islamabad on November 2, 2024?","A. France

C. Austria
D. Netherlands",B. Germany
"November 1, 2024, marked which anniversary of the freedom of Gilgit-Baltistan from Dogra?","B. 75th
C. 70th
D. 65th",A. 77th
Who led the Pakistan delegation to the 8th edition of the Future Investment Initiative (FII) in Riyadh?,"A. Foreign Minister
B. Finance Minister

D. Commerce and Trade Minister",C. Prime Minister
"A two-day 2024 conference of the “International Search and Rescue Advisory Group (INSARAG)” held in Islamabad, on October 29-30, 2024, was hosted by: _________?","A. The Pakistan Environmental Protection Agency

C. Ministry of Foreign Affairs
D. Human Rights Commission of Pakistan",B. National Disaster Management Authority (NDMA)
"In the International Telecommunication Union’s (ITU) Global Cybersecurity Index (GCI) 2024, Pakistan has improved its ranking to:","B. Tier-2 (Advancing)
C. Tier-3 (Establishing)
D. None of These",A. Tier-1 (Role-modelling)
The World Justice Project’s (WJP) Rule of Law Index for 2024 has ranked Pakistan _____ out of 142 countries assessed worldwide.,"A. 125th

C. 135th
D. 140th",B. 129th
The 45th Annual Forum of ‘Parliamentarians for Global Action (PGA)’ and the 13th Consultative Assembly of Parliamentarians on the International Criminal Court and Rule of Law held in:,"A. Victoria, Seychelles

C. New Delhi, India
D. Washington D. C., USA","B. Islamabad, Pakistan"
Which Superintendent of Police (SP) from Pakistan received the 2024 International Association of Chiefs of Police (IACP) Global Award for outstanding professional service?,"A. Imran Qureshi
B. Mohammad Naveed

D. Rashim Jehangir",C. Beenish Fatima
"Which Social Media site, in collaboration with the Pakistan Telecommunication Authority (PTA), has announced the launch of the #DigitalHifazat contest?","A. Facebook

C. X (Twitter)
D. WhatsApp",B. TikTok
Which Pakistani senator led the delegation serving as international observers for Uzbekistan’s parliamentary elections in 2024?,"B. Senator Sarmad Ali
C. Senator Amir Chishti
D. Senator Ayesha Raza",A. Senator Irfan Siddiqui
"Who led the Pakistan delegation to the Commonwealth Heads of Government Meeting (CHOGM) 2024 held in Apia, Samoa?","A. Shahbaz Sharif
B. Asif Ali Zardari

D. Muhammad Aurangzeb",C. Mohammad Ishaq Dar
Who led the Pakistan delegation to the Commonwealth Heads of Government Meeting (CHOGM) in Samoa?,"A. Deputy Prime Minister
B. Foreign Minister
C. Prime Minister",D. Both (A) and (B)
"Justice Yahya Afridi was sworn in by President Asif Ali Zardari as the 30th chief justice of Pakistan (CJP) at a ceremony in _____ on October 26, 2024.","A. Prime Minister House
B. Supreme Court

D. Majlis-e-Shoora",C. Awan-i-Saddar
Who is the Current Chief justice of Pakistan?,"A. Justice Umar Ata Bandial
B. Justice Qazi Faez Isa

D. Justice Mansoor Ali Shah",C. Justice Yahya Afridi
"________ has secured a gold medal at the Mr. Universe 2024 competition held by the World Fitness Federation in Las Vegas, USA.","A. Ali Haider
B. Nadeem Ahmed

D. none of them",C. Rameez Ibrahim
"As per the World Bank’s report in October 2024, what is Pakistan’s projected economic growth rate for the fiscal year?","A. 2.3%

C. 3.5%
D. 4.0%",B. 2.8%
The International Monetary Fund (IMF) projects Pakistan’s unemployment rate for 2024 to be,"A. 5.5%
B. 6.0%

D. 8.0%",C. 7.5%
How many amendments have been officially approved and incorporated into the 1973 Constitution to date?,"A. 22
B. 24

D. None of these",C. 26
"Who is set to take oath as the next Chief Justice of Pakistan (CJP) on October 26, 2024?","A. Justice Mansoor Ali Shah

C. Justice Qazi Faez Essa
D. Justice Sajjad Ali Shah",B. Justice Yahya Afridi
"According to the newly approved ” The Constitution ( Twenty-Sixth amendment) Act ,2024 ” , The 12-Member Parliamentary Committee will nominate the new Chief justice of Pakistan from the Panel of Three most Senior Judges. Then , Parliamentary Committee will Propose the Selected name to the Prime Minister, who will then Forward it to the ___________for final approval .","B. Governor
C. Army Chief
D. In-charge Chief Justice",A. President
"According to the newly approved ” The Constitution ( Twenty-Sixth amendment) Act 2024 ” , The 12-member Parliamentary Committee  will nominate the new Chief justice of Pakistan out of Three most Senior Judges of the Supreme Court .Then , Parliamentary Committee will Propose the Selected name to the____________?","A. President

C. Chief of the Army Staff
D. In-charge Chief Justice",B. Prime Minister
Who is the Chairman of the Judicial Commission of Pakistan ( JCP ) ?,"A. Army Chief
B. President
C. Prime Minister",D. Chief Justice
"According to the Constitution ( Twenty-Sixth amendment) Act,2024 , ” Judicial Commission of Pakistan ” would be led by ___________?","A. The Chief Justice ,and Including Three Senior Judges
B. Two Members, each from the National Assembly and the Senate of Pakistan
C. Federal Minister of Law and Justice ,and The Attorney General
D. A nominee from the Pakistan Bar Council, having experience not less than fifteen ( 15 ) years of Practice in the Supreme Court",E. All of these
"Which international body criticized the passage of the 26th Constitutional Amendment as a “blow to judicial independence, the rule of law, and human rights protection”?","A. International Criminal Court
B. International Court of Justice

D. Amnesty International",C. International Commission of Jurists
"Which Japanese company will extend finance of RS. 4.22bn for Pakistan’s procurement and installation of 45 telemetry stations, and five automatic weather stations?","A. Japan External Trade Organization (JETRO)

C. Japan Association of Commerce and Industry
D. Japan Government",B. Japan International Cooperation Agency
"Pakistan has finalized an agreement with ________ for procurement and installation of 45 telemetry stations, and five automatic weather stations for improved flood forecasting and weather monitoring system.","A. The USA
B. Australia

D. China",C. Japan
"One of the most important components of ” The Constitution ( Twenty-Sixth amendment) Act,2024 ” is the complete eradication of Riba ( Interest ) from the country by ___________?","A. January 1, 2025
B. January 1, 2026
C. January 1, 2027","D. January 1, 2028"
"According to ” The Constitution ( Twenty-Sixth amendment) Act ,2024? , Who will give the final Approval for the Appointment of the Chief Justice of Supreme Court of Pakistan?","A. Parliamentary Committee
B. Chairman Senate of Pakistan

D. Prime Minister of Pakistan",C. President of Pakistan
"According to the recently approved ” The Constitution ( Twenty-Sixth amendment) Act ,2024 ” , The 12-member Parliamentary Committee will nominate the new chief justice of Pakistan from the Panel of the __________?","B. Four Most Senior Judges
C. Five Most Senior Judges
D. Six Most Senior Judges",A. Three Most Senior Judges
"According to “The Constitution ( Twenty-Sixth amendment) Act,2024 , The term for the “Chief Justice Supreme Court of Pakistan” has been set at ____________?","B. 4 Years
C. 5 Years
D. 6 Years",A. 3 Years
"The newly Approved ” The Constitution ( Twenty-Sixth amendment) Act, 2024 Clearly Suggests that ” The Senior-most Judge of the each Constitutional Bench will Serve as its .","B. Speaker of National Assembly
C. Chairman Senate
D. None of these",A. Presiding Officer
"The newly Approved ” The Constitution ( Twenty-Sixth amendment) Act, 2024 ” envisages introduction of reforms to the __________?","A. Appointment Process and Tenure of the Chief Justice of Pakistan
B. Establishment of the Constitutional Benches at the Supreme Court, With equal representation from all Provinces of Pakistan
C. Establishment of the Constitutional Benches at the High Courts",D. All of these
"How many members in the National Assembly of Pakistan Voted in the favour of ” The Constitution ( Twenty-Sixth amendment) Act ,2024??","A. 4
B. 12
C. 65",D. 225
"How many members voted in the favour of ” The Constitution ( Twenty-Sixth amendment) Act ,2024 in the Senate of Pakistan?","A. 4
B. 12

D. 225",C. 65
"The Senate and the National Assembly of Pakistan Passed ” The Constitution (Twenty -Sixth Amendment ) Act,2024 with a _________majority in October 2024.","A. 1/2nd

C. 1/4th
D. 2/5th",B. 2/3rd
According to 26th amendment in 1973 constitution A judge of the supreme court shall hold office until he attains the age of_______ years.,"A. 60
B. 67

D. 70",C. 65
Which amendment in the Constitution of Pakistan was approved in October 2024?,"A. 25th

C. 27th
D. None of These",B. 26th
The 26th amendment empowering the __________to appoint the next CJP from among three senior judges.,"B. President
C. Chief Justice
D. None of These",A. PM
"According to the report ‘Macro Poverty Outlook for Pakistan’, released by the World Bank on October 18, 2024, the poverty rate will remain near ________ through Fiscal Year 2026.","A. 20%
B. 25%
C. 30%",D. 40%
Who represented India at the 23rd Shanghai Cooperation Organisation ( SCO) Council of Head of Government Meeting 2024 in Pakistan.,"A. Sushma Swaraj
B. Narendra Modi

D. Rahul Gandhi",C. Dr S JaiShankar
Pakistan has been declared _______ in ‘Freedom on the Net 2024’ report published by Freedom House.,"A. ‘Free’
B. ‘Partly Free’

D. None of Above",C. ‘Not Free’
"Pakistan scored _____ out of 100 in report ‘Freedom on the Net 2024’, produced by Freedom House.","B. 38
C. 50
D. 72",A. 27
"When the Supreme Court set aside the government job quota scheme for family members of low-grade employees who retire on medical grounds, die during the service or become disabled?","A. September 18, 2024

C. September 30, 2024
D. October 10, 2024","B. October 18, 2024"
"What was Pakistan’s score in the 2024 Freedom on the Net report, which classified the country as ‘not free’?","B. 50
C. 35
D. 21",A. 27
Which country has signed with Pakistan a memorandum of subsidiary agreement for ‘Climate Resilient and Adaptive Water Allocation in Pakistan’ project?,"A. China
B. Malaysia

D. Saudi Arabia",C. Australia
When the Senate of Pakistan passed the “Establishment of Special Courts Bill” to decide property-related cases of overseas Pakistanis?,"A. October 1, 2023
B. October 1, 2024

D. September 17, 2024","C. October 17, 2024"
The heads of delegations at SCO Summit 2024 in Islamabad proposed the establishment of which institution?,"A. SCO Development Bank
B. SCO Development Fund (Special Account)
C. SCO Investment Fund",D. All of Above
"It was the first time in nearly ____ years that India’s foreign minister travelled to Pakistan on October 15, 2024.","B. 11
C. 13
D. 15",A. 9
The last visit to Pakistan by Indian foreign minister was in: _____________?,"B. 2012
C. 2010
D. 2018",A. 2015
"The IMF has asked Pakistan to swiftly end preferential treatment, tax exemptions and other protections for the ________ sector.","A. Agriculture
B. Textile
C. Health",D. Both (A) and (B)
"Which Pakistani secured the ‘gold medal’ at the Sixth Asian Taekwondo Open Championship in the kyorugi discipline on October 16, 2024?","A. Nooh Dastgir

C. Arshad Nadeem
D. Talha Talib",B. Shahzaib Khan
The International Monetary Fund (IMF) has urged Pakistan to invest ____ percent of its GDP annually in climate resilience and adaptation reforms to prepare for recurring extreme weather events.,"B. Two
C. Three
D. Four",A. One
Chinese PM Li Qiang and PM Shahbaz Sharif  inaugurated the newly completed _____ in a ‘virtual ceremony’.,"B. Physical Infrastructure of Gwadar Port and the Free Zone Phase-1
C. Gwadar Smart Port City Master Plan
D. Pak-China Technical and Vocational Institute.",A. Gwadar International Airport
PM Shahbaz Sharif and Chinese PM signed agreement on:,"A. Jointly produce TV programs
B. Currency Swap Agreement
C. ‘Protocol on Quarantine Requirements’ for the export of donkey meat to China",D. All of Above
"Li Qiang, the first Chinese PM to visit Pakistan in _______ years, arrived for a four-day official trip on October 14, 2024.","A. 8

C. 15
D. 17",B. 11
"The first-ever ‘Pakistan Oman Expo and Business Conference’ held on ________, 2024, in Muscat.","A. September 13-14

C. September 29-30
D. October 15-16",B. October 13-14
"Sindh Rawadari March was demonstrated in Karachi ,Pakistani on ___________?","A. 10 October,2024
B. 11 October ,2024
C. 12 October ,2024","D. 13 October ,2024"
